stellenart,berufe,letzteTaetigkeit.jahr,letzteTaetigkeit.bezeichnung
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",2025,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,"['Film- und Videoeditor/in', 'Social-Media-Manager/in', 'Content Creator']",,Film- und Videoeditor/in
ARBEIT,"['Bürokaufmann/-frau', 'Sekretär/in', 'Kaufmännische Fachkraft']",2026,Bürokaufmann/-frau
ARBEIT,"['Kunsttherapeut/in', 'Lehrer/in/Dozent/in - Erwachsenenbildung', 'Event-Manager/in']",,Kinderbetreuer/in
ARBEIT,['Pförtner/in'],2024,Übersetzer/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",2024,Automobilmechaniker/in
ARBEIT,['Betreuungskraft / Alltagsbegleiter/in'],2025,Pflegeassistent/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Gabelstaplerfahrer/in']",2026,"Helfer/in - Kurier-, Zustell- und Postdienstleistungen"
ARBEIT,['Helfer/in - Hochbau'],,
ARBEIT,"['Chemielaborant/in', 'Techniker/in - Chemietechnik (Betriebstechnik)/Bachelor Professional in Technik', 'Analytiker/in - Chemie']",2023,Lehrer/in - Waldorfschulen
ARBEIT,"['Onlineredakteur/in', 'Account-Manager/in']",2024,Onlineredakteur/in
ARBEIT,['Berufskraftfahrer/in'],2026,Berufskraftfahrer/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Verkauf']",,
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Reinigung', 'Helfer/in - Kurier-, Zustell- und Postdienstleistungen']",2026,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,['Helfer/in - Küche'],2026,Helfer/in - Küche
ARBEIT,"['Betreuungskraft / Alltagsbegleiter/in', 'Helfer/in - Altenpflege/Persönliche Assistenz', 'Helfer/in - Hauswirtschaft']",2026,Helfer/in - Hauswirtschaft
ARBEIT,"['Helfer/in - Büro, Verwaltung']",2023,Erzieher/in
ARBEIT,['Kaufmann/-frau - Groß- und Außenhandel (Außenhandel)'],2026,Einzelhandelskaufmann/-frau
ARBEIT,"['Sicherheitsmitarbeiter/in', 'Fachkraft - Schutz und Sicherheit']",2026,Wach- und Sicherheitsfachmann/-frau
ARBEIT,['Museumsaufseher/in'],2025,Bürokaufmann/-frau
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Kommissionierer/in', 'Helfer/in - Reinigung']",2026,Fleischer/in - Schlachten
ARBEIT,"['Pharmareferent/in', 'Pharmazeutisch-technische/r Assistent/in']",2026,Pharmareferent/in
ARBEIT,['Sicherheitsmitarbeiter/in'],2025,Sicherheitsmitarbeiter/in
ARBEIT,['Helfer/in - Gastgewerbe'],,
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",,Location-Coordinator
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Kommissionierer/in', 'Helfer/in - Verkauf']",2026,Leiter/in - Produktion/Fertigung
ARBEIT,['Helfer/in - Chemie- und Pharmatechnik'],,
ARBEIT,['Sozialarbeiter/in / Sozialpädagoge/-pädagogin'],,
ARBEIT,"['Helfer/in - Küche', 'Helfer/in - Reinigung']",2026,Helfer/in - Küche
ARBEIT,"['Helfer/in - Altenpflege/Persönliche Assistenz', 'Ambulante/r Pfleger/in']",2026,Helfer/in - Altenpflege/Persönliche Assistenz
ARBEIT,['Helfer/in - Reinigung'],,Helfer/in - Reinigung
ARBEIT,"['Helfer/in - Küche', 'Altenpflegehelfer/in', 'Helfer/in - Reinigung']",2019,Altenpflegehelfer/in
ARBEIT,['Softwareentwickler/in'],2026,Technische/r Assistent/in - medizinische Gerätetechnik
ARBEIT,['Berufskraftfahrer/in'],2026,Berufskraftfahrer/in
ARBEIT,['Physiotherapeut/in'],2026,Qualitätsmanager/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Holz, Flechtwaren', 'Helfer/in - Lebensmittelherstellung']",,"Helfer/in - Kurier-, Zustell- und Postdienstleistungen"
ARBEIT,"['Leiter/in - IT', 'IT-Projektkoordinator/in']",2026,Leiter/in - IT
ARBEIT,['Data Scientist'],2015,Steuerfachangestellte/r
ARBEIT,['Servicekraft - Gastronomie und Gastgewerbe'],2025,Verkäufer/in - Nahrungsmittelhandwerk
ARBEIT,['Hausmeister/in'],2026,Bodenleger/in
ARBEIT,"['Illustrator/in', 'Helfer/in - Metallbau', 'Industriemechaniker/in']",,Comic-Zeichner/in
