beruf,titel
Maschinen- und Anlagenführer/in - Lebensmitteltechnik,Maschinen- und Anlagenführer (Lebensmittelbereich)  (m/w/d)
Bürogehilf(e/in),Quereinsteiger Bürohilfe (m/w/d)
Gastronomische/r Assistent/in,Küchenhelfer Kantine (m/w/d)
Maschinen- und Anlagenführer/in - Lebensmitteltechnik,Maschinenführer - Lebensmitteltechnik (m/w/d)
Helfer/in - Lebensmittelherstellung,Minijobber gesucht (m/w/d)
Helfer/in - Lebensmittelherstellung,Minijobber Lebensmittelherstellung (m/w/d/x)
"Helfer/in - Kunststoff, Kautschuk","Produktionshelfer - Kunststoff, Kautschuk (m/w/d) Vollkontischicht"
Lager- und Transportarbeiter/in,Helfer Kommissionierung/Lager (m/w/d/x)
Lager- und Transportarbeiter/in,Helfer im Bereich Lager und Kommissionierung (m/w/d)
Maschinen- und Anlagenführer/in - Lebensmitteltechnik,Maschinenführer*in (m/w/d)
Helfer/in - Druck,Helfer - Papierverarbeitung (m/w/d)
Gebäudereiniger/in,Gebäudereinigungskraft (m/w/d)
Helfer/in - Lebensmittelherstellung,Helfer - Qualitätskontrolle (m/w/d)
Helfer/in - Lebensmittelherstellung,Produktionshelfer Müsliriegel (m/w/d)
Helfer/in - Lebensmittelherstellung,Produktionshelfer Nahrungsergänzungsmittel (m/w/d)
"Helfer/in - Holz, Flechtwaren",Quereinsteiger - Holzverarbeitung (m/w/d)
Helfer/in - Chemie- und Pharmatechnik,Quereinsteiger (m/w/d) in der Chemie-/Pharmaindustrie
Vertriebsassistent/in,Mitarbeiter Vertriebsinnendienst - Inside Sales (m/w/gn)
Hausmeister/in,Hausmeister (m/w/d) Schwerpunkt Metallbau 
Kraftfahrzeugmechaniker/in,Helfer (m/w/d) mit KFZ-Kenntnissen
Helfer/in - Elektro,Mitarbeiter (m/w/d) im Repair-Center ab 16 € in Ahrensburg
Sachbearbeiter/in - Einkauf,Sachbearbeiter (m/w/d) in Bad Oldesloe
Helfer/in - Reinigung,"Reinigungsmitarbeiter (m/w/d) 15,00€/Std / Teilzeit"
Fachkraft - Lagerlogistik,Lagermitarbeiter (m/w/d) - 16 € pro Stunde
"Helfer/in - Feinmechanik, Werkzeugbau","Produktionsmitarbeiter (m/w/d) Pyrotechnik – Trittau ab 19,59 € pro Stunde"
Helfer/in - Chemie- und Pharmatechnik,"Helfer (m/w/d) 17,07 €- 25,53€ "
Helfer/in - Chemie- und Pharmatechnik,"Quereinsteiger Chemie- und Pharmatechnik (m/w/d) 17,07 - 25,53€ in Bad Oldeloe"
Helfer/in - Chemie- und Pharmatechnik,"Produktionsmitarbeiter (m/w/d) 17,07 - 25,53€/St"
Sachbearbeiter/in - Einkauf,Sachbearbeiter (m/w/d)
Helfer/in - Chemie- und Pharmatechnik,"Quereinsteiger Chemie- und Pharmatechnik (m/w/d)  17,07 - 25,53€"
Helfer/in - Chemie- und Pharmatechnik,"Quereinsteiger Chemie- und Pharmatechnik (m/w/d) 17,07 - 25,53€"
Helfer/in - Chemie- und Pharmatechnik,"Produktionsmitarbeiter (m/w/d) 17,07 - 25,53€/St in Bad Oldesloe"
Helfer/in - Elektro,Mitarbeiter (m/w/d) im Repair-Center – Quereinsteiger willkommen
Kaufmann/-frau - Büromanagement,Kaufmännischer Mitarbeiter (m/w/d)
Hausmeister/in,Gärtner m/w/d - Garten- und Landschaftsbauer m/w/d
Helfer/in - Reinigung,"Reinigungsmitarbeiter (m/w/d) 15,00€/Std / Teilzeit in Bad Oldesloe"
Fachkraft - Lagerlogistik,Fachkraft für Lagerlogistik (m/w/d) 
Fachkraft - Lagerlogistik,Fachkraft für Lagerlogistik (m/w/d) in Bargteheide
"Helfer/in - Kunststoff, Kautschuk",Produktionsmitarbeiter (m/w/d) – 17–19 € Stundenlohn
Projektleiter/in,Prozessmanager (m/w/d)
