date,france_no2_mean
2024-02-08,7.513912001935414
2024-02-09,10.99187629113634
2024-02-10,14.001964267902924
2024-02-11,7.7892378974734715
2024-02-12,19.9234186810915
2024-02-13,18.56481019212773
2024-02-14,24.02067840736067
2024-02-15,22.913324722348808
2024-02-16,24.800929987798956
2024-02-17,29.786358934093016
2024-02-18,19.102633611961306
2024-02-19,27.27835852326097
2024-02-20,20.50850515625055
2024-02-21,25.73435414353541
2024-02-22,22.942856170951075
2024-02-23,15.796031536220983
2024-02-24,18.14269346955152
2024-02-25,13.472375480018382
2024-02-26,18.785751516187997
2024-02-27,18.340047268456317
2024-02-28,17.382906850006034
2024-02-29,19.9683077943318
2024-03-01,18.94329202250197
2024-03-02,17.001880991955606
2024-03-03,11.494445415577538
2024-03-04,17.689293565420897
2024-03-05,19.044536609989176
2024-03-06,18.25758904790978
2024-03-07,20.389631836189945
2024-03-08,16.277350322832593
2024-03-09,16.85611559702726
2024-03-10,10.947202191173014
2024-03-11,16.229556387365427
2024-03-12,20.608514492753624
2024-03-13,24.003253899117027
2024-03-14,22.66787124885666
2024-03-15,21.723735466726737
2024-03-16,21.773214285714285
2024-03-17,18.006038647342994
2024-03-18,20.65730277499791
2024-03-19,17.51963176574978
2024-03-20,23.601966873706004
2024-03-21,22.77115263101288
2024-03-22,20.773977443414786
2024-03-23,14.043227970572993
2024-03-24,12.046300655029405
2024-03-25,18.541351720506732
2024-03-26,19.669030453379136
2024-03-27,14.47509807075342
2024-03-28,16.03944805081374
2024-03-29,16.820623389926755
2024-03-30,13.41022850982976
2024-03-31,9.429512523918289
2024-04-01,9.1212476808696
2024-04-02,12.688158741879182
2024-04-03,16.8280199841856
2024-04-04,17.065745442570687
2024-04-05,17.091527778267203
2024-04-06,16.700026785918514
2024-04-07,15.822611306709387
2024-04-08,19.828948236565452
2024-04-09,20.121286133797625
2024-04-10,12.948752216389648
2024-04-11,14.964887546589646
2024-04-12,17.337694496185613
2024-04-13,17.280142662276504
2024-04-14,16.09572533066151
2024-04-15,19.016128362550905
2024-04-16,12.826796813253734
2024-04-17,10.886251416876677
2024-04-18,13.410190205595379
2024-04-19,13.383354511338364
2024-04-20,12.683066711098327
2024-04-21,9.474556620420596
2024-04-22,12.144808308889553
2024-04-23,13.337693726949384
2024-04-24,14.141204710730419
2024-04-25,10.927564681664236
2024-04-26,14.354832897393564
2024-04-27,13.936545314486004
2024-04-28,13.058557156115992
2024-04-29,16.498482531151392
2024-04-30,17.320376125393807
2024-05-01,11.430845312545785
2024-05-02,11.361705943367726
2024-05-03,11.765792206669408
2024-05-04,11.039370975514434
2024-05-05,10.56708212875262
2024-05-06,14.304887483155028
2024-05-07,15.019618665904817
2024-05-08,13.985643129571672
2024-05-09,11.912963971912024
2024-05-10,13.914823194158476
2024-05-11,13.482417891457967
2024-05-12,12.420534909692073
2024-05-13,14.20656517849365
2024-05-14,13.5136450072963
2024-05-15,13.205862333296917
2024-05-16,12.572582658992264
2024-05-17,11.950043441087699
2024-05-18,13.407166203393302
2024-05-19,10.992856441514638
2024-05-20,14.830189147349135
2024-05-21,9.829392243734198
2024-05-22,11.079929959199493
2024-05-23,12.140914577622087
2024-05-24,13.106698586226193
2024-05-25,11.646211238775773
2024-05-26,9.624696818315085
2024-05-27,13.16273967966328
2024-05-28,11.723243512347613
2024-05-29,12.475935878793043
2024-05-30,12.401599537821914
2024-05-31,10.403610159353992
2024-06-01,11.833683921471476
2024-06-02,9.759995371013765
2024-06-03,12.359408319052603
2024-06-04,14.651567019203044
2024-06-05,12.803090069004384
2024-06-06,13.307340992091188
2024-06-07,15.533872460201588
2024-06-08,15.575379042195271
2024-06-09,13.463151808718678
2024-06-10,10.220961427641567
2024-06-11,9.559741384977329
2024-06-12,10.34783520784098
2024-06-13,11.021272562904262
2024-06-14,12.27792832106857
2024-06-15,12.317461983912688
2024-06-16,9.602682372112215
2024-06-17,12.838831217455908
2024-06-18,15.78081688536174
2024-06-19,18.102583695373163
2024-06-20,19.528630571748643
2024-06-21,18.318182992195844
2024-06-22,10.890513807629317
2024-06-23,8.568038305088566
2024-06-24,11.794669471069875
2024-06-25,11.26734141764686
2024-06-26,11.922110851978248
2024-06-27,11.731092587822204
2024-06-28,14.343167793909702
2024-06-29,14.60921654349229
2024-06-30,12.262667203940378
2024-07-01,13.100983732981355
2024-07-02,11.320472000013297
2024-07-03,10.91252951028419
2024-07-04,11.386491691537003
2024-07-05,13.014297015024212
2024-07-06,12.911676682947077
2024-07-07,10.420420935794146
2024-07-08,11.797215847110772
2024-07-09,12.564251129605315
2024-07-10,14.804869735422397
2024-07-11,14.84074986484763
2024-07-12,14.255525952892139
2024-07-13,13.038418654726392
2024-07-14,9.675044572577171
2024-07-15,13.442045877627347
2024-07-16,15.068043538087906
2024-07-17,14.925398714562194
2024-07-18,13.680114219172314
2024-07-19,14.57711409281941
2024-07-20,11.804774026858874
2024-07-21,10.458524115484236
2024-07-22,14.165916417786327
2024-07-23,13.289971467635244
2024-07-24,13.410763983723227
2024-07-25,12.802885136344212
2024-07-26,13.240293625344863
2024-07-27,13.444090402542308
2024-07-28,11.276769895374969
2024-07-29,13.0987562678753
2024-07-30,13.0614332660785
2024-07-31,14.464604517652125
2024-08-01,14.462938031123258
2024-08-02,14.03047263793306
2024-08-03,13.081662824271074
2024-08-04,9.355252357219966
2024-08-05,13.054105921942709
2024-08-06,13.30214658344437
2024-08-07,13.483169641396605
2024-08-08,14.78444953900759
2024-08-09,15.796208210722135
2024-08-10,13.064329215636825
2024-08-11,12.248579249605978
2024-08-12,14.250940597744847
2024-08-13,14.583403802948213
2024-08-14,11.939688004658349
2024-08-15,11.340953777082463
2024-08-16,14.172847893039387
2024-08-17,10.602260148391364
2024-08-18,8.947622723063741
2024-08-19,10.78823703073522
2024-08-20,14.502840094501153
2024-08-21,16.77917075359174
2024-08-22,13.312269620078228
2024-08-23,12.1608634867346
2024-08-24,12.753514925415008
2024-08-25,10.867792578127707
2024-08-26,13.365817648150575
2024-08-27,11.964051999965944
2024-08-28,17.662781573498965
2024-08-29,18.69064052476899
2024-08-30,18.910782512400857
2024-08-31,17.19859287136955
2024-09-01,14.634480936570872
2024-09-02,17.796258255743123
2024-09-03,18.100686402191613
2024-09-04,16.231228449928768
2024-09-05,18.4063506004404
2024-09-06,22.634602879360195
2024-09-07,19.62638461756259
2024-09-08,13.150336443550735
2024-09-09,10.30081395406765
2024-09-10,13.628257190242637
2024-09-11,19.67381447465608
2024-09-12,12.86379856128785
2024-09-13,14.19029559661365
2024-09-14,11.641343617106589
2024-09-15,13.707655669927572
2024-09-16,17.783601986505513
2024-09-17,13.751476044978416
2024-09-18,19.17383277619041
2024-09-19,17.211987895801954
2024-09-20,17.726872451731982
2024-09-21,14.02679628935825
2024-09-22,12.917242560337533
2024-09-23,17.509250531886202
2024-09-24,13.583972401338007
2024-09-25,16.56374372639069
2024-09-26,16.515494059020202
2024-09-27,14.462277662569479
2024-09-28,11.613394210269805
2024-09-29,10.029664793836126
2024-09-30,16.326188182932242
2024-10-01,17.999863770099182
2024-10-02,17.37746450270887
2024-10-03,13.779884623400733
2024-10-04,13.245093095690498
2024-10-05,14.46754859233448
2024-10-06,13.706336397298326
2024-10-07,18.854924907818848
2024-10-08,16.123330206390033
2024-10-09,13.061014687775401
2024-10-10,14.163688600988074
2024-10-11,15.577347819200957
2024-10-12,14.79746173198931
2024-10-13,12.376308301735147
2024-10-14,21.62121109446678
2024-10-15,19.006344660541185
2024-10-16,20.239763961187972
2024-10-17,16.320198306406724
2024-10-18,17.68081798359062
2024-10-19,13.659291639959278
2024-10-20,11.063959892730923
2024-10-21,16.000794342736402
2024-10-22,18.462742944345955
2024-10-23,17.169847518924517
2024-10-24,17.19490258031016
2024-10-25,16.87193671022863
2024-10-26,15.296304293919942
2024-10-27,14.771743030480671
2024-10-28,16.352999275902974
2024-10-29,19.80510810599228
2024-10-30,19.99844718814681
