city,population,lat,lon,date,peak_temperature,precipitation_mm
Oberhausen,219176,51.493847,6.8478265,2016-08-24,29.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-25,30.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-26,31.1,0.2
Oberhausen,219176,51.493847,6.8478265,2016-08-27,31.7,0.8
Oberhausen,219176,51.493847,6.8478265,2016-08-28,29.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-29,22.4,1.9
Oberhausen,219176,51.493847,6.8478265,2016-08-30,23.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-31,25.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-01,23.1,0.2
Oberhausen,219176,51.493847,6.8478265,2016-09-02,25.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-03,24.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-04,20.7,13.1
Oberhausen,219176,51.493847,6.8478265,2016-09-05,21.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-06,24.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-07,25.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-08,27.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-09,23.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-10,26.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-11,25.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-12,29.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-13,31.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-14,31.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-15,29.5,1.3
Oberhausen,219176,51.493847,6.8478265,2016-09-16,22.3,5.2
Oberhausen,219176,51.493847,6.8478265,2016-09-17,22.0,2.5
Oberhausen,219176,51.493847,6.8478265,2016-09-18,18.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-19,18.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-20,18.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-21,20.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-22,20.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-23,20.2,0.3
Oberhausen,219176,51.493847,6.8478265,2016-09-24,23.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-25,25.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-26,19.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-27,21.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-28,21.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-09-29,21.7,0.5
Oberhausen,219176,51.493847,6.8478265,2016-09-30,18.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-01,17.6,8.0
Oberhausen,219176,51.493847,6.8478265,2016-10-02,15.2,2.5
Oberhausen,219176,51.493847,6.8478265,2016-10-03,16.7,0.5
Oberhausen,219176,51.493847,6.8478265,2016-10-04,15.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-05,12.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-06,12.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-07,14.4,0.1
Oberhausen,219176,51.493847,6.8478265,2016-10-08,13.2,0.6
Oberhausen,219176,51.493847,6.8478265,2016-10-09,12.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-10,11.9,0.3
Oberhausen,219176,51.493847,6.8478265,2016-10-11,11.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-12,10.3,0.9
Oberhausen,219176,51.493847,6.8478265,2016-10-13,12.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-14,14.6,1.2
Oberhausen,219176,51.493847,6.8478265,2016-10-15,13.9,1.3
Oberhausen,219176,51.493847,6.8478265,2016-10-16,18.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-17,17.0,0.7
Oberhausen,219176,51.493847,6.8478265,2016-10-18,14.8,4.1
Oberhausen,219176,51.493847,6.8478265,2016-10-19,10.9,9.3
Oberhausen,219176,51.493847,6.8478265,2016-10-20,9.1,7.2
Oberhausen,219176,51.493847,6.8478265,2016-10-21,9.6,4.6
Oberhausen,219176,51.493847,6.8478265,2016-10-22,8.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-23,11.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-24,11.4,4.6
Oberhausen,219176,51.493847,6.8478265,2016-10-25,9.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-26,11.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-27,13.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-28,13.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-29,12.7,0.1
Oberhausen,219176,51.493847,6.8478265,2016-10-30,11.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-10-31,14.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-11-01,13.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-11-02,10.0,1.2
Oberhausen,219176,51.493847,6.8478265,2016-11-03,9.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-11-04,10.5,1.4
Oberhausen,219176,51.493847,6.8478265,2016-11-05,9.3,0.8
Oberhausen,219176,51.493847,6.8478265,2016-11-06,8.2,1.2
Oberhausen,219176,51.493847,6.8478265,2016-11-07,5.6,5.6
Oberhausen,219176,51.493847,6.8478265,2016-11-08,4.1,0.3
Oberhausen,219176,51.493847,6.8478265,2016-11-09,4.7,7.7
Oberhausen,219176,51.493847,6.8478265,2016-11-10,5.9,6.9
Oberhausen,219176,51.493847,6.8478265,2016-11-11,5.5,2.6
Oberhausen,219176,51.493847,6.8478265,2016-11-12,4.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-11-13,5.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-11-14,4.3,1.1
Oberhausen,219176,51.493847,6.8478265,2016-11-15,10.4,4.5
Oberhausen,219176,51.493847,6.8478265,2016-11-16,12.1,10.5
Oberhausen,219176,51.493847,6.8478265,2016-11-17,10.5,9.0
Oberhausen,219176,51.493847,6.8478265,2016-11-18,10.7,9.6
Oberhausen,219176,51.493847,6.8478265,2016-11-19,7.1,0.4
